timestamp,timestring,Close_D
1480032000000,2016-11-25,45.2
1480291200000,2016-11-28,45.45
1480377600000,2016-11-29,45.4
1480464000000,2016-11-30,45.4
1480550400000,2016-12-01,45.35
1480636800000,2016-12-02,45.3
1480896000000,2016-12-05,45.3
1480982400000,2016-12-06,45.35
1481068800000,2016-12-07,45.55
1481155200000,2016-12-08,45.7
1481241600000,2016-12-09,46.75
1481500800000,2016-12-12,46.7
1481587200000,2016-12-13,46.7
1481673600000,2016-12-14,46.8
1481760000000,2016-12-15,46.95
1481846400000,2016-12-16,47
1482105600000,2016-12-19,46.7
1482192000000,2016-12-20,47.25
1482278400000,2016-12-21,47.2
1482364800000,2016-12-22,47.45
1482451200000,2016-12-23,47.35
1482710400000,2016-12-26,47.25
1482796800000,2016-12-27,47.1
1482883200000,2016-12-28,47.25
1482969600000,2016-12-29,47.5
1483056000000,2016-12-30,47.85
1483401600000,2017-01-03,47.95
1483488000000,2017-01-04,47.95
1483574400000,2017-01-05,47.8
1483660800000,2017-01-06,46.9
1483920000000,2017-01-09,46.75
1484006400000,2017-01-10,47.5
1484092800000,2017-01-11,47.65
1484179200000,2017-01-12,47.65
1484265600000,2017-01-13,47.5
1484524800000,2017-01-16,47.45
1484611200000,2017-01-17,47.85
1484697600000,2017-01-18,48
1484784000000,2017-01-19,47.9
1484870400000,2017-01-20,47.8
1485129600000,2017-01-23,47.8
1485216000000,2017-01-24,47.7
1485993600000,2017-02-02,47.7
1486080000000,2017-02-03,47.7
1486339200000,2017-02-06,48.6
1486425600000,2017-02-07,48.7
1486512000000,2017-02-08,48.8
1486598400000,2017-02-09,50
1486684800000,2017-02-10,49.8
1486944000000,2017-02-13,49.9
1487030400000,2017-02-14,49.95
1487116800000,2017-02-15,50
1487203200000,2017-02-16,49.7
1487289600000,2017-02-17,49.85
1487376000000,2017-02-18,49.9
1471564800000,2016-08-19,47.1
1471824000000,2016-08-22,46.5
1471910400000,2016-08-23,46.65
1471996800000,2016-08-24,46.9
1472083200000,2016-08-25,47.3
1472169600000,2016-08-26,47.1
1472428800000,2016-08-29,47.4
1472515200000,2016-08-30,47.1
1472601600000,2016-08-31,47
1472688000000,2016-09-01,47
1472774400000,2016-09-02,46.55
1473033600000,2016-09-05,46.85
1473120000000,2016-09-06,47.15
1473206400000,2016-09-07,47.35
1473292800000,2016-09-08,47.5
1473379200000,2016-09-09,47.7
1473465600000,2016-09-10,47.5
1473638400000,2016-09-12,47.25
1473724800000,2016-09-13,47.1
1473811200000,2016-09-14,46.95
1474243200000,2016-09-19,47.25
1474329600000,2016-09-20,47.15
1474416000000,2016-09-21,47.3
1474502400000,2016-09-22,47.2
1474588800000,2016-09-23,47.3
1474848000000,2016-09-26,47.4
1475107200000,2016-09-29,47.5
1475193600000,2016-09-30,47.4
1475452800000,2016-10-03,47.4
1475539200000,2016-10-04,47.25
1475625600000,2016-10-05,47
1475712000000,2016-10-06,47
1475798400000,2016-10-07,47
1476144000000,2016-10-11,46.4
1476230400000,2016-10-12,46.2
1476316800000,2016-10-13,45.8
1476403200000,2016-10-14,45.05
1476662400000,2016-10-17,45.3
1476748800000,2016-10-18,45.75
1476835200000,2016-10-19,46.25
1476921600000,2016-10-20,46.3
1477008000000,2016-10-21,46.3
1477267200000,2016-10-24,46.2
1477353600000,2016-10-25,46.05
1477440000000,2016-10-26,46
1477526400000,2016-10-27,46.05
1477612800000,2016-10-28,45.6
1477872000000,2016-10-31,45.65
1477958400000,2016-11-01,45.55
1478044800000,2016-11-02,45.55
1478131200000,2016-11-03,45
1478217600000,2016-11-04,44.75
1478476800000,2016-11-07,44.85
1478563200000,2016-11-08,45.35
1478649600000,2016-11-09,44.2
1478736000000,2016-11-10,44.9
1478822400000,2016-11-11,44.8
1479081600000,2016-11-14,44.55
1479168000000,2016-11-15,44.9
1479254400000,2016-11-16,44.7
1479340800000,2016-11-17,44.8
1479427200000,2016-11-18,45
1479686400000,2016-11-21,45.2
1479772800000,2016-11-22,45.25
1479859200000,2016-11-23,45.55
1479945600000,2016-11-24,45.6
1480032000000,2016-11-25,45.2
1480291200000,2016-11-28,45.45
1480377600000,2016-11-29,45.4
1480464000000,2016-11-30,45.4
1480550400000,2016-12-01,45.35
1480636800000,2016-12-02,45.3
1480896000000,2016-12-05,45.3
1480982400000,2016-12-06,45.35
1481068800000,2016-12-07,45.55
1481155200000,2016-12-08,45.7
1481241600000,2016-12-09,46.75
1481500800000,2016-12-12,46.7
1481587200000,2016-12-13,46.7
1481673600000,2016-12-14,46.8
1481760000000,2016-12-15,46.95
1481846400000,2016-12-16,47
1482105600000,2016-12-19,46.7
1482192000000,2016-12-20,47.25
1482278400000,2016-12-21,47.2
1482364800000,2016-12-22,47.45
1482451200000,2016-12-23,47.35
1482710400000,2016-12-26,47.25
1482796800000,2016-12-27,47.1
1482883200000,2016-12-28,47.25
1482969600000,2016-12-29,47.5
1483056000000,2016-12-30,47.85
1483401600000,2017-01-03,47.95
1483488000000,2017-01-04,47.95
1483574400000,2017-01-05,47.8
1483660800000,2017-01-06,46.9
1483920000000,2017-01-09,46.75
1484006400000,2017-01-10,47.5
1484092800000,2017-01-11,47.65
1484179200000,2017-01-12,47.65
1484265600000,2017-01-13,47.5
1484524800000,2017-01-16,47.45
1484611200000,2017-01-17,47.85
1484697600000,2017-01-18,48
1484784000000,2017-01-19,47.9
1484870400000,2017-01-20,47.8
1485129600000,2017-01-23,47.8
1485216000000,2017-01-24,47.7
1485993600000,2017-02-02,47.7
1486080000000,2017-02-03,47.7
1486339200000,2017-02-06,48.6
1486425600000,2017-02-07,48.7
1486512000000,2017-02-08,48.8
1486598400000,2017-02-09,50
1486684800000,2017-02-10,49.8
1486944000000,2017-02-13,49.9
1487030400000,2017-02-14,49.95
1487116800000,2017-02-15,50
1487203200000,2017-02-16,49.7
1487289600000,2017-02-17,49.85
1487376000000,2017-02-18,49.9
