timestamp,timestring,Close_D
1480982400000,2016-12-06,22.4
1481068800000,2016-12-07,22.55
1481155200000,2016-12-08,22.75
1481241600000,2016-12-09,22.5
1481500800000,2016-12-12,22.25
1481587200000,2016-12-13,22.35
1481673600000,2016-12-14,23
1481760000000,2016-12-15,22.4
1481846400000,2016-12-16,22.45
1482105600000,2016-12-19,22.5
1482192000000,2016-12-20,22.8
1482278400000,2016-12-21,22.8
1482364800000,2016-12-22,22.45
1482451200000,2016-12-23,22.9
1482710400000,2016-12-26,24.45
1482796800000,2016-12-27,23.9
1482883200000,2016-12-28,24.4
1482969600000,2016-12-29,24.2
1483056000000,2016-12-30,24.5
1483401600000,2017-01-03,24.55
1483488000000,2017-01-04,24.8
1483574400000,2017-01-05,24.5
1483660800000,2017-01-06,24.35
1483920000000,2017-01-09,22.95
1484006400000,2017-01-10,23.35
1484092800000,2017-01-11,23.3
1484179200000,2017-01-12,23.6
1484265600000,2017-01-13,23.5
1484524800000,2017-01-16,23.1
1484611200000,2017-01-17,23
1484697600000,2017-01-18,23.2
1484784000000,2017-01-19,23.7
1484870400000,2017-01-20,23.4
1485129600000,2017-01-23,24
1485216000000,2017-01-24,23.8
1485993600000,2017-02-02,24.25
1486080000000,2017-02-03,24.35
1486339200000,2017-02-06,24.15
1486425600000,2017-02-07,25.05
1486512000000,2017-02-08,24.6
1486598400000,2017-02-09,25.15
1486684800000,2017-02-10,24.3
1486944000000,2017-02-13,24.8
1487030400000,2017-02-14,24.7
1487116800000,2017-02-15,25.3
1487203200000,2017-02-16,24.8
1487289600000,2017-02-17,24.9
1487376000000,2017-02-18,25.25
1471564800000,2016-08-19,20.3
1471824000000,2016-08-22,20.45
1471910400000,2016-08-23,20.3
1471996800000,2016-08-24,20.25
1472083200000,2016-08-25,20.85
1472169600000,2016-08-26,20.7
1472428800000,2016-08-29,20.4
1472515200000,2016-08-30,21.3
1472601600000,2016-08-31,21.9
1472688000000,2016-09-01,22
1472774400000,2016-09-02,21.2
1473033600000,2016-09-05,21.1
1473120000000,2016-09-06,21.3
1473206400000,2016-09-07,21.35
1473292800000,2016-09-08,21.8
1473379200000,2016-09-09,21.9
1473465600000,2016-09-10,21.9
1473638400000,2016-09-12,22.85
1473724800000,2016-09-13,22.25
1473811200000,2016-09-14,22.6
1474243200000,2016-09-19,22.4
1474329600000,2016-09-20,21.9
1474416000000,2016-09-21,22.4
1474502400000,2016-09-22,23.25
1474588800000,2016-09-23,23.3
1474848000000,2016-09-26,23.3
1475107200000,2016-09-29,23.2
1475193600000,2016-09-30,22.9
1475452800000,2016-10-03,22.9
1475539200000,2016-10-04,23.35
1475625600000,2016-10-05,23.3
1475712000000,2016-10-06,24.1
1475798400000,2016-10-07,23.85
1476144000000,2016-10-11,23.15
1476230400000,2016-10-12,23.45
1476316800000,2016-10-13,23.8
1476403200000,2016-10-14,23.15
1476662400000,2016-10-17,23.3
1476748800000,2016-10-18,23.15
1476835200000,2016-10-19,23.1
1476921600000,2016-10-20,23.15
1477008000000,2016-10-21,23
1477267200000,2016-10-24,22.65
1477353600000,2016-10-25,22.7
1477440000000,2016-10-26,22.75
1477526400000,2016-10-27,22.45
1477612800000,2016-10-28,22.45
1477872000000,2016-10-31,22.7
1477958400000,2016-11-01,22.35
1478044800000,2016-11-02,22.25
1478131200000,2016-11-03,21.35
1478217600000,2016-11-04,21.3
1478476800000,2016-11-07,21.5
1478563200000,2016-11-08,21.9
1478649600000,2016-11-09,20.3
1478736000000,2016-11-10,20.8
1478822400000,2016-11-11,19.9
1479081600000,2016-11-14,20
1479168000000,2016-11-15,20.1
1479254400000,2016-11-16,20.75
1479340800000,2016-11-17,19.9
1479427200000,2016-11-18,20.15
1479686400000,2016-11-21,20.15
1479772800000,2016-11-22,20.7
1479859200000,2016-11-23,21.1
1479945600000,2016-11-24,21.5
1480032000000,2016-11-25,21.35
1480291200000,2016-11-28,21.3
1480377600000,2016-11-29,21.7
1480464000000,2016-11-30,21.55
1480550400000,2016-12-01,21.9
1480636800000,2016-12-02,21.65
1480896000000,2016-12-05,21.95
1480982400000,2016-12-06,22.4
1481068800000,2016-12-07,22.55
1481155200000,2016-12-08,22.75
1481241600000,2016-12-09,22.5
1481500800000,2016-12-12,22.25
1481587200000,2016-12-13,22.35
1481673600000,2016-12-14,23
1481760000000,2016-12-15,22.4
1481846400000,2016-12-16,22.45
1482105600000,2016-12-19,22.5
1482192000000,2016-12-20,22.8
1482278400000,2016-12-21,22.8
1482364800000,2016-12-22,22.45
1482451200000,2016-12-23,22.9
1482710400000,2016-12-26,24.45
1482796800000,2016-12-27,23.9
1482883200000,2016-12-28,24.4
1482969600000,2016-12-29,24.2
1483056000000,2016-12-30,24.5
1483401600000,2017-01-03,24.55
1483488000000,2017-01-04,24.8
1483574400000,2017-01-05,24.5
1483660800000,2017-01-06,24.35
1483920000000,2017-01-09,22.95
1484006400000,2017-01-10,23.35
1484092800000,2017-01-11,23.3
1484179200000,2017-01-12,23.6
1484265600000,2017-01-13,23.5
1484524800000,2017-01-16,23.1
1484611200000,2017-01-17,23
1484697600000,2017-01-18,23.2
1484784000000,2017-01-19,23.7
1484870400000,2017-01-20,23.4
1485129600000,2017-01-23,24
1485216000000,2017-01-24,23.8
1485993600000,2017-02-02,24.25
1486080000000,2017-02-03,24.35
1486339200000,2017-02-06,24.15
1486425600000,2017-02-07,25.05
1486512000000,2017-02-08,24.6
1486598400000,2017-02-09,25.15
1486684800000,2017-02-10,24.3
1486944000000,2017-02-13,24.8
1487030400000,2017-02-14,24.7
1487116800000,2017-02-15,25.3
1487203200000,2017-02-16,24.8
1487289600000,2017-02-17,24.9
1487376000000,2017-02-18,25.25
