timestamp,timestring,Close_D
1483574400000,2017-01-05,77.8
1483660800000,2017-01-06,77.3
1483920000000,2017-01-09,76.2
1484006400000,2017-01-10,76.2
1484092800000,2017-01-11,74.3
1484179200000,2017-01-12,73.4
1484265600000,2017-01-13,73.3
1484524800000,2017-01-16,72.3
1484611200000,2017-01-17,71.9
1484697600000,2017-01-18,73.2
1484784000000,2017-01-19,72.1
1484870400000,2017-01-20,72.1
1485129600000,2017-01-23,72.2
1485216000000,2017-01-24,71.6
1485993600000,2017-02-02,71.2
1486080000000,2017-02-03,73.9
1486339200000,2017-02-06,73.4
1486425600000,2017-02-07,72.9
1486512000000,2017-02-08,73.7
1486598400000,2017-02-09,73.1
1486684800000,2017-02-10,72.9
1486944000000,2017-02-13,73.1
1487030400000,2017-02-14,72.1
1487116800000,2017-02-15,73.4
1487203200000,2017-02-16,73.7
1487289600000,2017-02-17,77.1
1487376000000,2017-02-18,75.8
1471564800000,2016-08-19,77.2
1471824000000,2016-08-22,75.6
1471910400000,2016-08-23,75.5
1471996800000,2016-08-24,75.9
1472083200000,2016-08-25,76
1472169600000,2016-08-26,75.6
1472428800000,2016-08-29,74.6
1472515200000,2016-08-30,74.6
1472601600000,2016-08-31,73.3
1472688000000,2016-09-01,71.3
1472774400000,2016-09-02,68
1473033600000,2016-09-05,68.8
1473120000000,2016-09-06,68.5
1473206400000,2016-09-07,70.8
1473292800000,2016-09-08,70.4
1473379200000,2016-09-09,71.7
1473465600000,2016-09-10,70.3
1473638400000,2016-09-12,70.1
1473724800000,2016-09-13,69.3
1473811200000,2016-09-14,70.3
1474243200000,2016-09-19,70.4
1474329600000,2016-09-20,70.7
1474416000000,2016-09-21,70.7
1474502400000,2016-09-22,70
1474588800000,2016-09-23,71.2
1474848000000,2016-09-26,70.5
1475107200000,2016-09-29,70
1475193600000,2016-09-30,70
1475452800000,2016-10-03,70.2
1475539200000,2016-10-04,69.7
1475625600000,2016-10-05,70.5
1475712000000,2016-10-06,70.1
1475798400000,2016-10-07,69.7
1476144000000,2016-10-11,67.6
1476230400000,2016-10-12,67.5
1476316800000,2016-10-13,67.1
1476403200000,2016-10-14,65.6
1476662400000,2016-10-17,65.7
1476748800000,2016-10-18,64.8
1476835200000,2016-10-19,65.1
1476921600000,2016-10-20,65.1
1477008000000,2016-10-21,65.5
1477267200000,2016-10-24,67.2
1477353600000,2016-10-25,67.1
1477440000000,2016-10-26,67.7
1477526400000,2016-10-27,71.7
1477612800000,2016-10-28,70.5
1477872000000,2016-10-31,70.1
1477958400000,2016-11-01,68.6
1478044800000,2016-11-02,66.5
1478131200000,2016-11-03,65.5
1478217600000,2016-11-04,66
1478476800000,2016-11-07,66.6
1478563200000,2016-11-08,66.8
1478649600000,2016-11-09,63.9
1478736000000,2016-11-10,66.7
1478822400000,2016-11-11,65.4
1479081600000,2016-11-14,64.6
1479168000000,2016-11-15,65
1479254400000,2016-11-16,65
1479340800000,2016-11-17,64.3
1479427200000,2016-11-18,70.7
1479686400000,2016-11-21,69.1
1479772800000,2016-11-22,67.7
1479859200000,2016-11-23,68.2
1479945600000,2016-11-24,68.6
1480032000000,2016-11-25,68.9
1480291200000,2016-11-28,68.1
1480377600000,2016-11-29,67.9
1480464000000,2016-11-30,69
1480550400000,2016-12-01,75.9
1480636800000,2016-12-02,83
1480896000000,2016-12-05,82.7
1480982400000,2016-12-06,80.5
1481068800000,2016-12-07,78.9
1481155200000,2016-12-08,78.4
1481241600000,2016-12-09,79.5
1481500800000,2016-12-12,78
1481587200000,2016-12-13,78
1481673600000,2016-12-14,77.5
1481760000000,2016-12-15,77.6
1481846400000,2016-12-16,81.6
1482105600000,2016-12-19,77.5
1482192000000,2016-12-20,76.2
1482278400000,2016-12-21,80.1
1482364800000,2016-12-22,78.8
1482451200000,2016-12-23,78.3
1482710400000,2016-12-26,77.5
1482796800000,2016-12-27,79.3
1482883200000,2016-12-28,78.3
1482969600000,2016-12-29,78.4
1483056000000,2016-12-30,79.3
1483401600000,2017-01-03,78.3
1483488000000,2017-01-04,78
1483574400000,2017-01-05,77.8
1483660800000,2017-01-06,77.3
1483920000000,2017-01-09,76.2
1484006400000,2017-01-10,76.2
1484092800000,2017-01-11,74.3
1484179200000,2017-01-12,73.4
1484265600000,2017-01-13,73.3
1484524800000,2017-01-16,72.3
1484611200000,2017-01-17,71.9
1484697600000,2017-01-18,73.2
1484784000000,2017-01-19,72.1
1484870400000,2017-01-20,72.1
1485129600000,2017-01-23,72.2
1485216000000,2017-01-24,71.6
1485993600000,2017-02-02,71.2
1486080000000,2017-02-03,73.9
1486339200000,2017-02-06,73.4
1486425600000,2017-02-07,72.9
1486512000000,2017-02-08,73.7
1486598400000,2017-02-09,73.1
1486684800000,2017-02-10,72.9
1486944000000,2017-02-13,73.1
1487030400000,2017-02-14,72.1
1487116800000,2017-02-15,73.4
1487203200000,2017-02-16,73.7
1487289600000,2017-02-17,77.1
1487376000000,2017-02-18,75.8
