timestamp,timestring,Close_D
1484524800000,2017-01-16,49.25
1484611200000,2017-01-17,49.25
1484697600000,2017-01-18,49.5
1484784000000,2017-01-19,49.4
1484870400000,2017-01-20,49.3
1485129600000,2017-01-23,49.3
1485216000000,2017-01-24,49.2
1485993600000,2017-02-02,49.15
1486080000000,2017-02-03,49.2
1486339200000,2017-02-06,48.85
1486425600000,2017-02-07,49
1486512000000,2017-02-08,49.1
1486598400000,2017-02-09,49.4
1486684800000,2017-02-10,49.4
1486944000000,2017-02-13,49.5
1487030400000,2017-02-14,49.55
1487116800000,2017-02-15,49.6
1487203200000,2017-02-16,49.6
1487289600000,2017-02-17,49.9
1487376000000,2017-02-18,50
1471564800000,2016-08-19,43.95
1471824000000,2016-08-22,44
1471910400000,2016-08-23,43.8
1471996800000,2016-08-24,43.7
1472083200000,2016-08-25,44
1472169600000,2016-08-26,43.9
1472428800000,2016-08-29,43.6
1472515200000,2016-08-30,43.8
1472601600000,2016-08-31,43.95
1472688000000,2016-09-01,44
1472774400000,2016-09-02,44
1473033600000,2016-09-05,44.2
1473120000000,2016-09-06,44
1473206400000,2016-09-07,44
1473292800000,2016-09-08,44
1473379200000,2016-09-09,44
1473465600000,2016-09-10,43.85
1473638400000,2016-09-12,44
1473724800000,2016-09-13,44
1473811200000,2016-09-14,44
1474243200000,2016-09-19,44.2
1474329600000,2016-09-20,44.2
1474416000000,2016-09-21,43.75
1474502400000,2016-09-22,44
1474588800000,2016-09-23,43.85
1474848000000,2016-09-26,44.05
1475107200000,2016-09-29,44.5
1475193600000,2016-09-30,44.5
1475452800000,2016-10-03,44.3
1475539200000,2016-10-04,44.5
1475625600000,2016-10-05,44.5
1475712000000,2016-10-06,44.3
1475798400000,2016-10-07,44.3
1476144000000,2016-10-11,44
1476230400000,2016-10-12,44.5
1476316800000,2016-10-13,44.3
1476403200000,2016-10-14,44.3
1476662400000,2016-10-17,44.3
1476748800000,2016-10-18,44.2
1476835200000,2016-10-19,44.2
1476921600000,2016-10-20,44.5
1477008000000,2016-10-21,44.5
1477267200000,2016-10-24,44.5
1477353600000,2016-10-25,44.6
1477440000000,2016-10-26,44.3
1477526400000,2016-10-27,44.65
1477612800000,2016-10-28,44.5
1477872000000,2016-10-31,45
1477958400000,2016-11-01,46
1478044800000,2016-11-02,45.5
1478131200000,2016-11-03,45.5
1478217600000,2016-11-04,45.5
1478476800000,2016-11-07,46.2
1478563200000,2016-11-08,45.8
1478649600000,2016-11-09,45.6
1478736000000,2016-11-10,45.85
1478822400000,2016-11-11,45.65
1479081600000,2016-11-14,48
1479168000000,2016-11-15,47.55
1479254400000,2016-11-16,47.6
1479340800000,2016-11-17,49.7
1479427200000,2016-11-18,48.8
1479686400000,2016-11-21,49.05
1479772800000,2016-11-22,49
1479859200000,2016-11-23,48.7
1479945600000,2016-11-24,48.25
1480032000000,2016-11-25,48.35
1480291200000,2016-11-28,48.5
1480377600000,2016-11-29,48.8
1480464000000,2016-11-30,48.8
1480550400000,2016-12-01,49
1480636800000,2016-12-02,49.9
1480896000000,2016-12-05,49.4
1480982400000,2016-12-06,49.7
1481068800000,2016-12-07,50.3
1481155200000,2016-12-08,50.5
1481241600000,2016-12-09,50.5
1481500800000,2016-12-12,50.2
1481587200000,2016-12-13,50.3
1481673600000,2016-12-14,50.8
1481760000000,2016-12-15,50.5
1481846400000,2016-12-16,50.3
1482105600000,2016-12-19,50.4
1482192000000,2016-12-20,49.8
1482278400000,2016-12-21,49.5
1482364800000,2016-12-22,48.85
1482451200000,2016-12-23,48.5
1482710400000,2016-12-26,48.5
1482796800000,2016-12-27,48.5
1482883200000,2016-12-28,48.9
1482969600000,2016-12-29,49.4
1483056000000,2016-12-30,50
1483401600000,2017-01-03,49.45
1483488000000,2017-01-04,49.4
1483574400000,2017-01-05,48.8
1483660800000,2017-01-06,48.8
1483920000000,2017-01-09,49.05
1484006400000,2017-01-10,48.6
1484092800000,2017-01-11,48.8
1484179200000,2017-01-12,49.3
1484265600000,2017-01-13,49.3
1484524800000,2017-01-16,49.25
1484611200000,2017-01-17,49.25
1484697600000,2017-01-18,49.5
1484784000000,2017-01-19,49.4
1484870400000,2017-01-20,49.3
1485129600000,2017-01-23,49.3
1485216000000,2017-01-24,49.2
1485993600000,2017-02-02,49.15
1486080000000,2017-02-03,49.2
1486339200000,2017-02-06,48.85
1486425600000,2017-02-07,49
1486512000000,2017-02-08,49.1
1486598400000,2017-02-09,49.4
1486684800000,2017-02-10,49.4
1486944000000,2017-02-13,49.5
1487030400000,2017-02-14,49.55
1487116800000,2017-02-15,49.6
1487203200000,2017-02-16,49.6
1487289600000,2017-02-17,49.9
1487376000000,2017-02-18,50
