timestamp,timestring,Close_D
1480550400000,2016-12-01,73.3
1480636800000,2016-12-02,72.7
1480896000000,2016-12-05,72.1
1480982400000,2016-12-06,72.3
1481068800000,2016-12-07,71.9
1481155200000,2016-12-08,72.1
1481241600000,2016-12-09,73.3
1481500800000,2016-12-12,74.5
1481587200000,2016-12-13,74.8
1481673600000,2016-12-14,74.3
1481760000000,2016-12-15,74.3
1481846400000,2016-12-16,74.6
1482105600000,2016-12-19,74.8
1482192000000,2016-12-20,74.2
1482278400000,2016-12-21,74.1
1482364800000,2016-12-22,74.7
1482451200000,2016-12-23,74.6
1482710400000,2016-12-26,74.5
1482796800000,2016-12-27,75.1
1482883200000,2016-12-28,75.4
1482969600000,2016-12-29,75.6
1483056000000,2016-12-30,76.4
1483401600000,2017-01-03,75.8
1483488000000,2017-01-04,75.7
1483574400000,2017-01-05,75.8
1483660800000,2017-01-06,76.2
1483920000000,2017-01-09,74.8
1484006400000,2017-01-10,73.4
1484092800000,2017-01-11,73.3
1484179200000,2017-01-12,72.9
1484265600000,2017-01-13,72.9
1484524800000,2017-01-16,72.5
1484611200000,2017-01-17,72.5
1484697600000,2017-01-18,72.9
1484784000000,2017-01-19,72.8
1484870400000,2017-01-20,72.4
1485129600000,2017-01-23,72.4
1485216000000,2017-01-24,72.9
1485993600000,2017-02-02,72.6
1486080000000,2017-02-03,73
1486339200000,2017-02-06,74
1486425600000,2017-02-07,74.1
1486512000000,2017-02-08,74.9
1486598400000,2017-02-09,74.4
1486684800000,2017-02-10,74.6
1486944000000,2017-02-13,73.8
1487030400000,2017-02-14,73.3
1487116800000,2017-02-15,73.7
1487203200000,2017-02-16,75.6
1487289600000,2017-02-17,77.9
1487376000000,2017-02-18,78.4
1487548800000,2017-02-20,77.2
1471824000000,2016-08-22,84.3
1471910400000,2016-08-23,84.8
1471996800000,2016-08-24,84
1472083200000,2016-08-25,84.7
1472169600000,2016-08-26,86
1472428800000,2016-08-29,85.3
1472515200000,2016-08-30,85
1472601600000,2016-08-31,85.7
1472688000000,2016-09-01,86.1
1472774400000,2016-09-02,85.5
1473033600000,2016-09-05,86.3
1473120000000,2016-09-06,84.6
1473206400000,2016-09-07,85.3
1473292800000,2016-09-08,85.6
1473379200000,2016-09-09,86.1
1473465600000,2016-09-10,86.5
1473638400000,2016-09-12,87.3
1473724800000,2016-09-13,85.6
1473811200000,2016-09-14,85.3
1474243200000,2016-09-19,86.6
1474329600000,2016-09-20,87.4
1474416000000,2016-09-21,88.1
1474502400000,2016-09-22,87.7
1474588800000,2016-09-23,88.4
1474848000000,2016-09-26,90
1475107200000,2016-09-29,89.3
1475193600000,2016-09-30,88.2
1475452800000,2016-10-03,88.5
1475539200000,2016-10-04,88.8
1475625600000,2016-10-05,88.1
1475712000000,2016-10-06,87.9
1475798400000,2016-10-07,87.8
1476144000000,2016-10-11,84.8
1476230400000,2016-10-12,85
1476316800000,2016-10-13,84.1
1476403200000,2016-10-14,81.5
1476662400000,2016-10-17,82.5
1476748800000,2016-10-18,82
1476835200000,2016-10-19,82.1
1476921600000,2016-10-20,81.2
1477008000000,2016-10-21,82.5
1477267200000,2016-10-24,82.2
1477353600000,2016-10-25,82
1477440000000,2016-10-26,82
1477526400000,2016-10-27,81.6
1477612800000,2016-10-28,81.4
1477872000000,2016-10-31,81.3
1477958400000,2016-11-01,80.2
1478044800000,2016-11-02,78.7
1478131200000,2016-11-03,79
1478217600000,2016-11-04,79.1
1478476800000,2016-11-07,78.4
1478563200000,2016-11-08,78.9
1478649600000,2016-11-09,72.1
1478736000000,2016-11-10,74
1478822400000,2016-11-11,72.1
1479081600000,2016-11-14,72.8
1479168000000,2016-11-15,72.8
1479254400000,2016-11-16,73.1
1479340800000,2016-11-17,72.4
1479427200000,2016-11-18,73.3
1479686400000,2016-11-21,74.1
1479772800000,2016-11-22,72
1479859200000,2016-11-23,71.3
1479945600000,2016-11-24,71.5
1480032000000,2016-11-25,71.6
1480291200000,2016-11-28,71.5
1480377600000,2016-11-29,72.1
1480464000000,2016-11-30,72.3
1480550400000,2016-12-01,73.3
1480636800000,2016-12-02,72.7
1480896000000,2016-12-05,72.1
1480982400000,2016-12-06,72.3
1481068800000,2016-12-07,71.9
1481155200000,2016-12-08,72.1
1481241600000,2016-12-09,73.3
1481500800000,2016-12-12,74.5
1481587200000,2016-12-13,74.8
1481673600000,2016-12-14,74.3
1481760000000,2016-12-15,74.3
1481846400000,2016-12-16,74.6
1482105600000,2016-12-19,74.8
1482192000000,2016-12-20,74.2
1482278400000,2016-12-21,74.1
1482364800000,2016-12-22,74.7
1482451200000,2016-12-23,74.6
1482710400000,2016-12-26,74.5
1482796800000,2016-12-27,75.1
1482883200000,2016-12-28,75.4
1482969600000,2016-12-29,75.6
1483056000000,2016-12-30,76.4
1483401600000,2017-01-03,75.8
1483488000000,2017-01-04,75.7
1483574400000,2017-01-05,75.8
1483660800000,2017-01-06,76.2
1483920000000,2017-01-09,74.8
1484006400000,2017-01-10,73.4
1484092800000,2017-01-11,73.3
1484179200000,2017-01-12,72.9
1484265600000,2017-01-13,72.9
1484524800000,2017-01-16,72.5
1484611200000,2017-01-17,72.5
1484697600000,2017-01-18,72.9
1484784000000,2017-01-19,72.8
1484870400000,2017-01-20,72.4
1485129600000,2017-01-23,72.4
1485216000000,2017-01-24,72.9
1485993600000,2017-02-02,72.6
1486080000000,2017-02-03,73
1486339200000,2017-02-06,74
1486425600000,2017-02-07,74.1
1486512000000,2017-02-08,74.9
1486598400000,2017-02-09,74.4
1486684800000,2017-02-10,74.6
1486944000000,2017-02-13,73.8
1487030400000,2017-02-14,73.3
1487116800000,2017-02-15,73.7
1487203200000,2017-02-16,75.6
1487289600000,2017-02-17,77.9
1487376000000,2017-02-18,78.4
1487548800000,2017-02-20,77.2
