timestamp,timestring,Close_D
1485216000000,2017-01-24,177.5
1485993600000,2017-02-02,175
1486080000000,2017-02-03,177
1486339200000,2017-02-06,175.5
1486425600000,2017-02-07,174
1486512000000,2017-02-08,175
1486598400000,2017-02-09,173
1486684800000,2017-02-10,175
1486944000000,2017-02-13,184
1487030400000,2017-02-14,182.5
1487116800000,2017-02-15,184.5
1487203200000,2017-02-16,184
1487289600000,2017-02-17,180
1487376000000,2017-02-18,185
1487548800000,2017-02-20,182.5
1471824000000,2016-08-22,220.5
1471910400000,2016-08-23,221
1471996800000,2016-08-24,229
1472083200000,2016-08-25,227.5
1472169600000,2016-08-26,224
1472428800000,2016-08-29,221.5
1472515200000,2016-08-30,224
1472601600000,2016-08-31,225.5
1472688000000,2016-09-01,229.5
1472774400000,2016-09-02,227
1473033600000,2016-09-05,230
1473120000000,2016-09-06,231.5
1473206400000,2016-09-07,237
1473292800000,2016-09-08,239.5
1473379200000,2016-09-09,239
1473465600000,2016-09-10,232.5
1473638400000,2016-09-12,237
1473724800000,2016-09-13,235
1473811200000,2016-09-14,240
1474243200000,2016-09-19,238
1474329600000,2016-09-20,241
1474416000000,2016-09-21,237
1474502400000,2016-09-22,237.5
1474588800000,2016-09-23,236.5
1474848000000,2016-09-26,237.5
1475107200000,2016-09-29,238
1475193600000,2016-09-30,235
1475452800000,2016-10-03,236.5
1475539200000,2016-10-04,226
1475625600000,2016-10-05,219
1475712000000,2016-10-06,219
1475798400000,2016-10-07,220.5
1476144000000,2016-10-11,201.5
1476230400000,2016-10-12,195
1476316800000,2016-10-13,214.5
1476403200000,2016-10-14,200.5
1476662400000,2016-10-17,191.5
1476748800000,2016-10-18,190
1476835200000,2016-10-19,185
1476921600000,2016-10-20,190
1477008000000,2016-10-21,195.5
1477267200000,2016-10-24,192
1477353600000,2016-10-25,193.5
1477440000000,2016-10-26,190
1477526400000,2016-10-27,193
1477612800000,2016-10-28,190.5
1477872000000,2016-10-31,192.5
1477958400000,2016-11-01,195
1478044800000,2016-11-02,188.5
1478131200000,2016-11-03,181.5
1478217600000,2016-11-04,185.5
1478476800000,2016-11-07,189
1478563200000,2016-11-08,188.5
1478649600000,2016-11-09,190
1478736000000,2016-11-10,192.5
1478822400000,2016-11-11,191
1479081600000,2016-11-14,187
1479168000000,2016-11-15,186
1479254400000,2016-11-16,189
1479340800000,2016-11-17,187.5
1479427200000,2016-11-18,186
1479686400000,2016-11-21,184
1479772800000,2016-11-22,178
1479859200000,2016-11-23,177
1479945600000,2016-11-24,178
1480032000000,2016-11-25,180
1480291200000,2016-11-28,181.5
1480377600000,2016-11-29,179
1480464000000,2016-11-30,174
1480550400000,2016-12-01,168
1480636800000,2016-12-02,171
1480896000000,2016-12-05,170
1480982400000,2016-12-06,174
1481068800000,2016-12-07,176
1481155200000,2016-12-08,174
1481241600000,2016-12-09,172.5
1481500800000,2016-12-12,167
1481587200000,2016-12-13,170
1481673600000,2016-12-14,169.5
1481760000000,2016-12-15,171.5
1481846400000,2016-12-16,170.5
1482105600000,2016-12-19,168.5
1482192000000,2016-12-20,160.5
1482278400000,2016-12-21,159
1482364800000,2016-12-22,158
1482451200000,2016-12-23,155.5
1482710400000,2016-12-26,156.5
1482796800000,2016-12-27,157
1482883200000,2016-12-28,157.5
1482969600000,2016-12-29,157.5
1483056000000,2016-12-30,162.5
1483401600000,2017-01-03,168
1483488000000,2017-01-04,173.5
1483574400000,2017-01-05,175.5
1483660800000,2017-01-06,175
1483920000000,2017-01-09,175
1484006400000,2017-01-10,172.5
1484092800000,2017-01-11,175
1484179200000,2017-01-12,175
1484265600000,2017-01-13,173
1484524800000,2017-01-16,170.5
1484611200000,2017-01-17,173.5
1484697600000,2017-01-18,177
1484784000000,2017-01-19,177.5
1484870400000,2017-01-20,177.5
1485129600000,2017-01-23,177.5
1485216000000,2017-01-24,177.5
1485993600000,2017-02-02,175
1486080000000,2017-02-03,177
1486339200000,2017-02-06,175.5
1486425600000,2017-02-07,174
1486512000000,2017-02-08,175
1486598400000,2017-02-09,173
1486684800000,2017-02-10,175
1486944000000,2017-02-13,184
1487030400000,2017-02-14,182.5
1487116800000,2017-02-15,184.5
1487203200000,2017-02-16,184
1487289600000,2017-02-17,180
1487376000000,2017-02-18,185
1487548800000,2017-02-20,182.5
